"","area_code","date","coho_104_ad_ret","coho_104_um_ret","coho_104_uk_ret","year","time_step","day_type","source"
"223","07","2004-03-13",0,0,0,2004,1,"WE","CRC"
"224","07","2004-03-14",0,0,0,2004,1,"WE","CRC"
"225","07","2004-03-15",0,0,0,2004,1,"WD","CRC"
"226","07","2004-03-16",0,0,0,2004,1,"WD","CRC"
"227","07","2004-03-17",0,0,0,2004,1,"WD","CRC"
"228","07","2004-03-18",0,0,0,2004,1,"WD","CRC"
"229","07","2004-03-19",0,0,0,2004,1,"WE","CRC"
"230","07","2004-03-20",0,0,0,2004,1,"WE","CRC"
"231","07","2004-03-21",0,0,0,2004,1,"WE","CRC"
"232","07","2004-03-22",0,0,0,2004,1,"WD","CRC"
"233","07","2004-03-23",0,0,0,2004,1,"WD","CRC"
"234","07","2004-03-24",0,0,0,2004,1,"WD","CRC"
"235","07","2004-03-25",0,0,0,2004,1,"WD","CRC"
"236","07","2004-03-26",0,0,0,2004,1,"WE","CRC"
"237","07","2004-03-27",0,0,0,2004,1,"WE","CRC"
"238","07","2004-03-28",0,0,0,2004,1,"WE","CRC"
"239","07","2004-03-29",0,0,0,2004,1,"WD","CRC"
"240","07","2004-03-30",0,0,0,2004,1,"WD","CRC"
"241","07","2004-03-31",0,0,0,2004,1,"WD","CRC"
"242","09","2004-02-01",0,0,0,2004,1,"WE","CRC"
"243","09","2004-02-02",0,0,0,2004,1,"WD","CRC"
"244","09","2004-02-03",0,0,0,2004,1,"WD","CRC"
"245","09","2004-02-04",0,0,0,2004,1,"WD","CRC"
"246","09","2004-02-05",0,0,0,2004,1,"WD","CRC"
"247","09","2004-02-06",0,0,0,2004,1,"WE","CRC"
"248","09","2004-02-07",0,0,0,2004,1,"WE","CRC"
"249","09","2004-02-08",0,0,0,2004,1,"WE","CRC"
"250","09","2004-02-09",0,0,0,2004,1,"WD","CRC"
"251","09","2004-02-10",0,0,0,2004,1,"WD","CRC"
"252","09","2004-02-11",0,0,0,2004,1,"WD","CRC"
"253","09","2004-02-12",0,0,0,2004,1,"WD","CRC"
"254","09","2004-02-13",0,0,0,2004,1,"WE","CRC"
"255","09","2004-02-14",0,0,0,2004,1,"WE","CRC"
"256","09","2004-02-15",0,0,0,2004,1,"WE","CRC"
"257","09","2004-02-16",0,0,0,2004,1,"WD","CRC"
"258","09","2004-02-17",0,0,0,2004,1,"WD","CRC"
"259","09","2004-02-18",0,0,0,2004,1,"WD","CRC"
"260","09","2004-02-19",0,0,0,2004,1,"WD","CRC"
"261","09","2004-02-20",0,0,0,2004,1,"WE","CRC"
"262","09","2004-02-21",0,0,0,2004,1,"WE","CRC"
"263","09","2004-02-22",0,0,0,2004,1,"WE","CRC"
"264","09","2004-02-23",0,0,0,2004,1,"WD","CRC"
"265","09","2004-02-24",0,0,0,2004,1,"WD","CRC"
"266","09","2004-02-25",0,0,0,2004,1,"WD","CRC"
"267","09","2004-02-26",0,0,0,2004,1,"WD","CRC"
"268","09","2004-02-27",0,0,0,2004,1,"WE","CRC"
"269","09","2004-02-28",0,0,0,2004,1,"WE","CRC"
"270","09","2004-02-29",0,0,0,2004,1,"WE","CRC"
"271","09","2004-03-01",0,0,0,2004,1,"WD","CRC"
"272","09","2004-03-02",0,0,0,2004,1,"WD","CRC"
"273","09","2004-03-03",0,0,0,2004,1,"WD","CRC"
"274","09","2004-03-04",0,0,0,2004,1,"WD","CRC"
"275","09","2004-03-05",0,0,0,2004,1,"WE","CRC"
"276","09","2004-03-06",0,0,0,2004,1,"WE","CRC"
"277","09","2004-03-07",0,0,0,2004,1,"WE","CRC"
"278","09","2004-03-08",0,0,0,2004,1,"WD","CRC"
"279","09","2004-03-09",0,0,0,2004,1,"WD","CRC"
"280","09","2004-03-10",0,0,0,2004,1,"WD","CRC"
"281","09","2004-03-11",0,0,0,2004,1,"WD","CRC"
"282","09","2004-03-12",0,0,0,2004,1,"WE","CRC"
"283","09","2004-03-13",0,0,0,2004,1,"WE","CRC"
"284","09","2004-03-14",0,0,0,2004,1,"WE","CRC"
"285","09","2004-03-15",0,0,0,2004,1,"WD","CRC"
"286","09","2004-03-16",0,0,0,2004,1,"WD","CRC"
"287","09","2004-03-17",0,0,0,2004,1,"WD","CRC"
"288","09","2004-03-18",0,0,0,2004,1,"WD","CRC"
"289","09","2004-03-19",0,0,0,2004,1,"WE","CRC"
"290","09","2004-03-20",0,0,0,2004,1,"WE","CRC"
"291","09","2004-03-21",0,0,0,2004,1,"WE","CRC"
"292","09","2004-03-22",0,0,0,2004,1,"WD","CRC"
"293","09","2004-03-23",0,0,0,2004,1,"WD","CRC"
"294","09","2004-03-24",0,0,0,2004,1,"WD","CRC"
"295","09","2004-03-25",0,0,0,2004,1,"WD","CRC"
"296","09","2004-03-26",0,0,0,2004,1,"WE","CRC"
"297","09","2004-03-27",0,0,0,2004,1,"WE","CRC"
"298","09","2004-03-28",0,0,0,2004,1,"WE","CRC"
"299","09","2004-03-29",0,0,0,2004,1,"WD","CRC"
"300","09","2004-03-30",0,0,0,2004,1,"WD","CRC"
"301","09","2004-03-31",0,0,0,2004,1,"WD","CRC"
"302","09","2004-04-01",0,0,0,2004,1,"WD","CRC"
"303","09","2004-04-02",0,0,0,2004,1,"WE","CRC"
"304","09","2004-04-03",0,0,0,2004,1,"WE","CRC"
"305","09","2004-04-04",0,0,0,2004,1,"WE","CRC"
"306","09","2004-04-05",0,0,0,2004,1,"WD","CRC"
"307","09","2004-04-06",0,0,0,2004,1,"WD","CRC"
"308","09","2004-04-07",0,0,0,2004,1,"WD","CRC"
"309","09","2004-04-08",0,0,0,2004,1,"WD","CRC"
"310","09","2004-04-09",0,0,0,2004,1,"WE","CRC"
"311","09","2004-04-10",0,0,0,2004,1,"WE","CRC"
"312","09","2004-04-11",0,0,0,2004,1,"WE","CRC"
"313","09","2004-04-12",0,0,0,2004,1,"WD","CRC"
"314","09","2004-04-13",0,0,0,2004,1,"WD","CRC"
"315","09","2004-04-14",0,0,0,2004,1,"WD","CRC"
"316","09","2004-04-15",0,0,0,2004,1,"WD","CRC"
