start_date,end_date,coho_ad_k,coho_um_k,coho_unk_k,coho_ad_r,coho_um_r,coho_unk_r,catch_area_code,source
12/12/2016,12/18/2016,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
12/12/2016,12/18/2016,0,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
12/19/2016,12/25/2016,0,0,0,6,0,0,81,Chinook Winter 2016-2017 Report
12/19/2016,12/25/2016,0,0,0,0,0,3,82,Chinook Winter 2016-2017 Report
12/19/2016,12/25/2016,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
12/19/2016,12/25/2016,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
12/19/2016,12/25/2016,0,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
12/26/2016,12/31/2016,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
12/26/2016,12/31/2016,0,0,0,9,16,0,82,Chinook Winter 2016-2017 Report
12/26/2016,12/31/2016,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
12/26/2016,12/31/2016,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
12/26/2016,12/31/2016,0,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
1/1/2017,1/8/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
1/1/2017,1/8/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
1/1/2017,1/8/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
1/1/2017,1/8/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
1/1/2017,1/8/2017,0,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
1/9/2017,1/15/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
1/9/2017,1/15/2017,0,0,0,3,0,0,82,Chinook Winter 2016-2017 Report
1/9/2017,1/15/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
1/9/2017,1/15/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
1/9/2017,1/15/2017,20,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
1/16/2017,1/22/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
1/16/2017,1/22/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
1/16/2017,1/22/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
1/16/2017,1/22/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
1/16/2017,1/22/2017,34,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
1/23/2017,1/29/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
1/23/2017,1/29/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
1/23/2017,1/29/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
1/23/2017,1/29/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
1/23/2017,1/23/2017,5,0,0,0,0,0,10,Chinook Winter 2016-2017 MSF Report
1/30/2017,2/5/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
1/30/2017,2/5/2017,0,0,0,0,0,4,82,Chinook Winter 2016-2017 Report
1/30/2017,2/5/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
1/30/2017,2/5/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
2/6/2017,2/12/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
2/6/2017,2/12/2017,0,0,0,4,0,0,82,Chinook Winter 2016-2017 Report
2/6/2017,2/12/2017,0,0,0,0,3,0,6,Chinook Winter 2016-2017 MSF Report
2/6/2017,2/10/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
2/13/2017,2/19/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
2/13/2017,2/19/2017,0,0,0,7,0,0,82,Chinook Winter 2016-2017 Report
2/13/2017,2/19/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
2/16/2017,2/19/2017,0,0,0,0,0,3,9,Chinook Winter 2016-2017 MSF Report
2/20/2017,2/26/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
2/20/2017,2/26/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
2/20/2017,2/26/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
2/20/2017,2/26/2017,0,0,0,19,0,3,9,Chinook Winter 2016-2017 MSF Report
2/27/2017,3/5/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
2/27/2017,3/5/2017,0,0,0,0,0,6,82,Chinook Winter 2016-2017 Report
2/27/2017,3/5/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
2/27/2017,3/5/2017,0,0,0,0,0,0,9,Chinook Winter 2016-2017 MSF Report
3/6/2017,3/12/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
3/6/2017,3/12/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
3/6/2017,3/12/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
3/6/2017,3/12/2017,0,0,0,0,0,0,9,Chinook Winter 2016-2017 MSF Report
3/13/2017,3/19/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
3/13/2017,3/19/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
3/13/2017,3/19/2017,0,0,0,3,0,0,6,Chinook Winter 2016-2017 MSF Report
3/13/2017,3/19/2017,0,0,0,0,0,6,9,Chinook Winter 2016-2017 MSF Report
3/20/2017,3/26/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
3/20/2017,3/26/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
3/20/2017,3/26/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
3/20/2017,3/26/2017,0,0,0,0,0,3,9,Chinook Winter 2016-2017 MSF Report
3/25/2017,3/26/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
3/27/2017,4/2/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
3/27/2017,4/2/2017,0,0,0,2,0,0,82,Chinook Winter 2016-2017 Report
3/27/2017,4/2/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
3/27/2017,4/2/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
3/27/2017,4/2/2017,0,0,0,0,0,3,9,Chinook Winter 2016-2017 MSF Report
4/3/2017,4/9/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
4/3/2017,4/9/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
4/3/2017,4/9/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
4/3/2017,4/9/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
4/3/2017,4/9/2017,0,0,0,0,0,0,9,Chinook Winter 2016-2017 MSF Report
4/10/2017,4/16/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
4/10/2017,4/16/2017,0,0,0,0,2,0,82,Chinook Winter 2016-2017 Report
4/10/2017,4/15/2017,0,0,0,0,0,0,6,Chinook Winter 2016-2017 MSF Report
4/10/2017,4/16/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
4/10/2017,4/15/2017,0,0,0,0,0,0,9,Chinook Winter 2016-2017 MSF Report
4/17/2017,4/21/2017,0,0,0,0,0,0,7,Chinook Winter 2016-2017 MSF Report
4/21/2017,4/23/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
4/21/2017,4/23/2017,0,0,0,2,0,0,82,Chinook Winter 2016-2017 Report
4/24/2017,4/30/2017,0,0,0,0,0,0,81,Chinook Winter 2016-2017 Report
4/24/2017,4/30/2017,0,0,0,0,0,0,82,Chinook Winter 2016-2017 Report
6/1/2017,6/4/2017,0,0,0,0,0,2,11,Chinook Summer 2017 MSF Report
6/5/2017,6/11/2017,0,0,0,0,0,7,11,Chinook Summer 2017 MSF Report
6/12/2017,6/18/2017,0,5,0,17,0,0,11,Chinook Summer 2017 MSF Report
6/19/2017,6/25/2017,2,5,0,5,0,0,11,Chinook Summer 2017 MSF Report
6/26/2017,7/2/2017,10,6,0,3,7,0,11,Chinook Summer 2017 MSF Report
7/1/2017,7/2/2017,35.31697994,0,0,23.22383425,27.11672241,34.35034122,5,Summer In-Season Coho Estimates
7/1/2017,7/2/2017,0,0,0,0,0,0,7,Chinook Summer 2017 MSF Report
7/3/2017,7/9/2017,21.84934233,0,0,73.49204411,69.15510271,40.62538157,5,Summer In-Season Coho Estimates
7/3/2017,7/9/2017,0,0,0,0,0,17,7,Chinook Summer 2017 MSF Report
7/3/2017,7/9/2017,36,6,0,7,11,3,11,Chinook Summer 2017 MSF Report
7/10/2017,7/16/2017,25.94850086,0,0,85.95018393,28.51399989,40.53730337,5,Summer In-Season Coho Estimates
